
time,gFx,gFy,gFz,I,
2.59,-0.11,0.10,1.08,81.00,
2.62,-0.11,0.10,1.08,135.00,
2.65,-0.01,0.14,0.95,135.00,
2.72,0.06,-0.08,1.45,135.00,
2.78,0.13,-0.05,1.12,135.00,
2.85,0.23,0.01,0.93,135.00,
2.92,0.19,0.03,0.80,135.00,
2.97,0.19,0.03,0.80,292.00,
2.98,0.01,-0.01,1.04,292.00,
3.05,0.16,0.07,0.97,292.00,
3.11,0.12,0.05,1.00,292.00,
3.18,0.01,-0.02,1.15,292.00,
3.25,0.06,0.06,0.94,292.00,
3.31,0.12,0.18,0.96,292.00,
3.32,0.12,0.18,0.96,380.00,
3.38,0.11,0.32,0.70,380.00,
3.44,-0.10,0.23,1.09,380.00,
3.51,-0.10,0.22,0.94,380.00,
3.58,-0.14,0.31,0.90,380.00,
3.64,-0.23,0.28,0.90,380.00,
3.67,-0.23,0.28,0.90,360.00,
3.71,-0.22,0.23,1.03,360.00,
3.77,-0.10,0.27,1.00,360.00,
3.84,-0.08,0.27,0.96,360.00,
3.91,-0.18,0.27,0.82,360.00,
3.97,-0.44,0.23,1.16,360.00,
4.02,-0.44,0.23,1.16,46.00,
4.04,0.03,0.46,0.85,46.00,
4.10,0.14,0.33,0.91,46.00,
4.17,0.10,0.35,0.74,46.00,
4.24,0.26,0.26,1.30,46.00,
4.30,0.43,0.84,0.42,46.00,
4.37,0.43,0.84,0.42,91.00,
4.37,0.06,0.50,1.02,91.00,
4.43,0.10,0.46,0.90,91.00,
4.50,0.41,0.46,0.59,91.00,
4.56,0.33,0.37,0.59,91.00,
4.63,0.07,0.40,0.80,91.00,
4.70,0.35,0.50,0.96,91.00,
4.72,0.35,0.50,0.96,26.00,
4.76,0.20,0.38,0.96,26.00,
4.83,0.01,0.29,0.86,26.00,
4.90,0.24,0.24,1.19,26.00,
4.96,-0.15,0.09,1.33,26.00,
5.03,-0.01,0.18,1.09,26.00,
5.07,-0.01,0.18,1.09,20.00,
5.10,-0.19,0.12,0.87,20.00,
5.16,-0.15,0.21,0.80,20.00,
5.23,-0.15,0.17,0.82,20.00,
5.29,0.04,0.17,1.12,20.00,
5.36,0.03,0.18,1.07,20.00,
5.42,0.03,0.18,1.07,20.00,
5.42,0.06,0.21,0.95,20.00,
5.49,0.22,0.09,1.18,20.00,
5.56,-0.01,0.16,1.14,20.00,
5.62,0.00,0.23,0.92,20.00,
5.69,-0.05,0.25,0.83,20.00,
5.75,0.02,0.22,0.85,20.00,
5.77,0.02,0.22,0.85,19.00,
5.82,-0.03,0.24,0.87,19.00,
5.89,-0.15,0.16,1.03,19.00,
5.95,-0.08,0.06,1.23,19.00,
6.02,-0.10,0.25,0.74,19.00,
6.08,-0.09,0.07,1.23,19.00,
6.12,-0.09,0.07,1.23,20.00,
6.15,-0.07,0.13,0.77,20.00,
6.22,-0.07,0.17,0.71,20.00,
6.28,0.04,0.25,0.70,20.00,
6.35,-0.02,0.29,0.89,20.00,
6.41,0.08,0.11,1.17,20.00,
6.47,0.08,0.11,1.17,52.00,
6.48,0.11,0.10,1.36,52.00,
6.55,0.04,0.01,1.42,52.00,
6.61,0.04,0.03,1.06,52.00,
6.68,0.09,0.17,0.60,52.00,
6.74,0.00,0.23,0.50,52.00,
6.81,0.13,0.25,0.66,52.00,
6.82,0.13,0.25,0.66,171.00,
6.88,0.07,0.34,0.66,171.00,
6.94,0.26,0.27,1.54,171.00,
7.01,-0.00,0.22,1.30,171.00,
7.07,0.22,0.02,1.67,171.00,
7.14,0.15,-0.07,1.55,171.00,
7.17,0.15,-0.07,1.55,71.00,
7.21,0.08,0.07,0.52,71.00,
7.27,0.10,0.11,0.46,71.00,
7.34,0.20,0.24,0.45,71.00,
7.40,0.30,0.27,0.46,71.00,
7.47,0.43,0.08,1.88,71.00,
7.52,0.43,0.08,1.88,294.00,
7.54,0.38,0.15,1.67,294.00,
7.60,0.33,0.10,1.14,294.00,
7.67,0.04,0.09,0.51,294.00,
7.74,-0.05,0.25,0.06,294.00,
7.80,-0.03,0.27,0.60,294.00,
7.87,-0.13,0.26,1.09,294.00,
7.87,-0.13,0.26,1.09,369.00,
7.93,-0.08,0.14,1.75,369.00,
8.00,-0.21,0.18,1.51,369.00,
8.06,0.01,0.11,1.72,369.00,
8.13,-0.01,0.04,1.13,369.00,
8.20,-0.09,0.07,0.21,369.00,
8.22,-0.09,0.07,0.21,251.00,
8.26,0.24,0.08,0.40,251.00,
8.33,0.29,0.24,0.20,251.00,
8.40,0.50,0.14,0.91,251.00,
8.46,0.47,0.13,1.17,251.00,
8.53,0.21,0.06,1.81,251.00,
8.57,0.21,0.06,1.81,71.00,
8.59,0.20,0.11,1.44,71.00,
8.66,0.21,0.17,0.69,71.00,
8.72,0.03,0.24,0.24,71.00,
8.79,0.01,0.26,0.53,71.00,
8.86,-0.09,0.29,1.01,71.00,
8.92,-0.09,0.29,1.01,31.00,
8.92,-0.06,0.21,1.38,31.00,
8.99,0.06,0.25,1.28,31.00,
9.05,-0.03,0.05,1.88,31.00,
9.12,0.24,0.01,1.37,31.00,
9.19,0.18,0.07,0.47,31.00,
9.25,0.13,0.13,0.12,31.00,
9.27,0.13,0.13,0.12,92.00,
9.32,0.19,0.22,0.38,92.00,
9.38,0.24,0.26,0.50,92.00,
9.45,0.25,0.06,1.30,92.00,
9.52,0.21,0.16,1.46,92.00,
9.58,0.26,0.00,1.68,92.00,
9.62,0.26,0.00,1.68,103.00,
9.65,0.28,0.07,1.06,103.00,
9.72,0.12,0.17,0.38,103.00,
9.78,0.05,0.26,0.37,103.00,
9.85,-0.10,0.26,1.09,103.00,
9.91,-0.19,0.29,1.45,103.00,
9.97,-0.19,0.29,1.45,396.00,
9.98,-0.15,0.31,1.28,396.00,
10.04,-0.41,0.14,1.49,396.00,
10.11,-0.12,0.17,1.35,396.00,
10.18,0.05,0.04,0.62,396.00,
10.24,0.14,0.04,0.51,396.00,
10.31,0.20,0.14,0.52,396.00,
10.32,0.20,0.14,0.52,484.00,
10.37,0.21,0.18,0.72,484.00,
10.44,0.23,0.21,0.97,484.00,
10.51,0.28,0.34,1.03,484.00,
10.57,-0.00,0.08,1.77,484.00,
10.64,0.23,0.17,1.15,484.00,
10.67,0.23,0.17,1.15,150.00,
10.70,0.16,0.24,0.59,150.00,
10.77,0.11,0.28,0.38,150.00,
10.84,0.00,0.23,0.89,150.00,
10.90,-0.15,0.29,1.00,150.00,
10.97,-0.14,0.40,1.10,150.00,
11.02,-0.14,0.40,1.10,32.00,
11.03,-0.14,0.05,1.92,32.00,
11.10,-0.10,-0.08,1.60,32.00,
11.17,-0.22,-0.15,1.25,32.00,
11.23,-0.03,-0.00,0.45,32.00,
11.30,0.18,0.11,0.23,32.00,
11.36,0.33,0.28,0.15,32.00,
11.37,0.33,0.28,0.15,26.00,
11.43,0.46,0.17,0.83,26.00,
11.50,0.34,0.21,1.00,26.00,
11.56,0.19,0.06,1.90,26.00,
11.63,0.29,0.15,1.29,26.00,
11.69,0.21,0.24,0.67,26.00,
11.72,0.21,0.24,0.67,20.00,
11.76,0.09,0.29,0.40,20.00,
11.83,0.01,0.30,0.82,20.00,
11.89,-0.11,0.29,1.20,20.00,
11.96,-0.08,0.29,1.20,20.00,
12.02,-0.05,0.13,1.72,20.00,
12.07,-0.05,0.13,1.72,20.00,
12.09,0.05,0.12,1.33,20.00,
12.16,0.26,0.13,0.98,20.00,
12.22,0.14,0.16,0.40,20.00,
12.29,0.06,0.11,0.42,20.00,
12.35,0.34,0.08,0.53,20.00,
12.42,0.34,0.08,0.53,24.00,
12.42,0.25,-0.00,1.01,24.00,
12.49,0.28,0.18,0.95,24.00,
12.55,0.17,0.19,1.71,24.00,
12.62,0.19,0.15,1.90,24.00,
12.68,-0.01,0.36,0.49,24.00,
12.75,0.05,0.31,0.33,24.00,
12.77,0.05,0.31,0.33,23.00,
12.82,0.03,0.23,0.60,23.00,
12.88,0.11,0.31,0.73,23.00,
12.95,0.03,0.28,1.25,23.00,
13.02,-0.19,-0.02,2.06,23.00,
13.08,0.06,-0.03,1.86,23.00,
13.12,0.06,-0.03,1.86,23.00,
13.15,0.08,-0.08,1.24,23.00,
13.21,-0.05,-0.08,0.47,23.00,
13.28,0.17,-0.04,0.18,23.00,
13.34,0.15,-0.00,0.60,23.00,
13.41,0.15,0.18,0.94,23.00,
13.47,0.15,0.18,0.94,20.00,
13.48,0.41,0.20,1.84,20.00,
13.54,0.12,0.29,1.35,20.00,
13.61,0.02,0.30,0.94,20.00,
13.67,0.12,0.21,0.77,20.00,
13.74,0.09,0.14,0.43,20.00,
13.81,0.03,0.20,0.27,20.00,
13.82,0.03,0.20,0.27,18.00,
13.87,0.27,0.40,0.62,18.00,
13.94,0.17,0.36,1.32,18.00,
14.00,-0.16,0.29,1.69,18.00,
14.07,0.17,0.10,2.19,18.00,
14.14,0.14,0.22,0.96,18.00,
14.17,0.14,0.22,0.96,21.00,
14.20,0.08,0.14,0.55,21.00,
14.27,0.00,0.09,0.18,21.00,
14.33,-0.04,0.06,0.56,21.00,
14.40,0.09,0.24,0.82,21.00,
14.47,0.28,0.34,1.22,21.00,
14.52,0.28,0.34,1.22,20.00,
14.53,0.36,0.17,1.72,20.00,
14.60,0.26,0.10,1.34,20.00,
14.66,0.41,0.27,0.81,20.00,
14.73,0.28,0.27,0.73,20.00,
14.80,0.13,0.20,0.56,20.00,
14.86,0.20,0.17,0.51,20.00,
14.87,0.20,0.17,0.51,20.00,
14.93,0.10,0.30,0.60,20.00,
14.99,0.23,0.54,0.88,20.00,
15.06,0.05,0.38,1.80,20.00,
15.13,-0.06,0.22,0.79,20.00,
15.19,0.01,-0.04,2.05,20.00,
15.22,0.01,-0.04,2.05,23.00,
15.26,0.16,0.25,0.59,23.00,
15.32,-0.01,0.20,0.58,23.00,
15.39,0.08,0.21,0.53,23.00,
15.46,0.13,0.30,0.77,23.00,
15.52,0.36,0.39,0.93,23.00,
15.57,0.36,0.39,0.93,27.00,
15.59,0.31,0.27,1.26,27.00,
15.66,0.27,0.15,1.44,27.00,
15.72,0.09,0.19,1.10,27.00,
15.79,0.23,0.27,0.67,27.00,
15.85,0.20,0.30,0.52,27.00,
15.92,0.20,0.30,0.52,28.00,
15.92,0.15,0.25,0.61,28.00,
15.98,0.21,0.30,0.77,28.00,
16.05,0.18,0.39,0.87,28.00,
16.12,0.08,0.44,1.06,28.00,
16.18,0.07,0.36,1.24,28.00,
16.25,0.17,0.39,0.73,28.00,
16.27,0.17,0.39,0.73,37.00,
16.31,-0.08,0.07,1.69,37.00,
16.38,-0.17,0.18,1.13,37.00,
16.45,-0.01,0.28,1.00,37.00,
16.51,-0.06,0.23,0.73,37.00,
16.58,0.06,0.21,0.71,37.00,
16.62,0.06,0.21,0.71,60.00,
16.64,0.09,0.29,0.62,60.00,
16.71,0.22,0.36,0.91,60.00,
16.78,0.16,0.32,1.33,60.00,
16.84,0.22,0.37,1.31,60.00,
16.91,0.25,0.32,1.21,60.00,
16.97,0.25,0.32,1.21,62.00,
16.98,0.26,0.33,0.73,62.00,
17.04,0.19,0.22,0.60,62.00,
17.11,0.05,0.17,0.34,62.00,
17.17,0.11,0.20,0.56,62.00,
17.24,0.22,0.38,0.96,62.00,
17.30,0.05,0.58,1.07,62.00,
17.32,0.05,0.58,1.07,62.00,
17.37,-0.42,0.54,1.25,62.00,
17.44,-0.22,0.33,1.77,62.00,
17.50,0.06,0.27,1.29,62.00,
17.57,0.00,0.18,0.67,62.00,
17.63,-0.19,0.13,0.39,62.00,
17.67,-0.19,0.13,0.39,123.00,
17.70,-0.05,0.14,0.51,123.00,
17.77,-0.19,0.19,0.81,123.00,
17.83,-0.24,0.25,1.11,123.00,
17.90,-0.17,0.18,1.62,123.00,
17.96,0.08,0.35,1.34,123.00,
18.02,0.08,0.35,1.34,100.00,
18.03,0.02,0.09,1.58,100.00,
18.10,-0.01,0.16,0.49,100.00,
18.16,0.04,0.21,0.38,100.00,
18.23,-0.07,0.12,0.86,100.00,
18.29,0.01,0.30,0.57,100.00,
18.36,-0.01,0.39,0.62,100.00,
18.37,-0.01,0.39,0.62,129.00,
18.43,-0.03,0.52,0.70,129.00,
18.49,-0.12,0.53,1.04,129.00,
18.56,-0.04,0.40,1.36,129.00,
18.62,-0.03,0.33,1.30,129.00,
18.69,-0.01,0.06,1.64,129.00,
18.72,-0.01,0.06,1.64,126.00,
18.76,-0.03,0.12,1.02,126.00,
18.82,-0.11,0.17,0.69,126.00,
18.89,-0.20,0.26,0.44,126.00,
18.95,-0.04,0.30,0.92,126.00,
19.02,0.04,0.36,0.76,126.00,
19.07,0.04,0.36,0.76,153.00,
19.08,0.08,0.41,0.73,153.00,
19.15,0.07,0.46,1.18,153.00,
19.22,0.22,0.44,0.94,153.00,
19.28,0.25,0.37,1.02,153.00,
19.35,0.17,0.32,0.72,153.00,
19.42,0.26,0.33,0.64,153.00,
19.42,0.26,0.33,0.64,143.00,
19.48,0.26,0.35,0.79,143.00,
19.55,0.13,0.48,0.70,143.00,
19.61,0.11,0.60,0.85,143.00,
19.68,0.10,0.58,1.03,143.00,
19.75,-0.20,0.35,0.87,143.00,
19.77,-0.20,0.35,0.87,156.00,
19.81,-0.26,0.07,2.23,156.00,
19.88,0.06,0.08,1.64,156.00,
19.94,0.09,0.12,0.79,156.00,
20.01,0.06,0.16,0.63,156.00,
20.08,0.05,0.24,0.58,156.00,
20.12,0.05,0.24,0.58,175.00,
20.14,0.07,0.25,0.80,175.00,
20.21,0.03,0.18,0.58,175.00,
20.27,-0.21,0.08,1.21,175.00,
20.34,0.27,0.46,0.98,175.00,
20.41,0.25,0.46,1.03,175.00,
20.47,0.25,0.46,1.03,172.00,
20.47,0.26,0.39,0.91,172.00,
20.54,0.09,0.28,0.79,172.00,
20.60,0.10,0.26,0.90,172.00,
20.67,0.11,0.34,0.80,172.00,
20.74,-0.06,0.45,1.07,172.00,
20.80,-0.29,0.25,1.35,172.00,
20.82,-0.29,0.25,1.35,196.00,
20.87,0.24,0.40,1.25,196.00,
20.93,-0.05,0.23,1.36,196.00,
21.00,0.00,0.30,0.77,196.00,
21.07,0.08,0.30,0.60,196.00,
21.13,0.02,0.20,0.60,196.00,
21.17,0.02,0.20,0.60,199.00,
21.20,0.04,0.22,0.54,199.00,
21.26,-0.01,0.30,0.69,199.00,
21.33,-0.02,0.42,0.96,199.00,
21.40,-0.09,0.40,1.23,199.00,
21.46,-0.02,0.25,1.54,199.00,
21.52,-0.02,0.25,1.54,204.00,
21.53,0.12,0.26,1.18,204.00,
21.59,0.27,0.29,0.72,204.00,
21.66,0.16,0.23,0.54,204.00,
21.73,0.03,0.19,0.60,204.00,
21.79,0.04,0.24,0.88,204.00,
21.86,0.11,0.38,1.05,204.00,
21.87,0.11,0.38,1.05,187.00,
21.92,0.34,0.50,1.62,187.00,
21.99,0.41,0.52,1.02,187.00,
22.06,-0.04,0.27,0.81,187.00,
22.12,-0.25,0.14,0.82,187.00,
22.19,-0.08,0.16,1.18,187.00,
22.22,-0.08,0.16,1.18,104.00,
22.25,0.11,0.26,0.95,104.00,
22.32,0.21,0.30,0.84,104.00,
22.39,-0.05,0.34,0.83,104.00,
22.45,0.09,0.33,1.06,104.00,
22.52,0.04,0.41,0.82,104.00,
22.57,0.04,0.41,0.82,100.00,
22.58,0.16,0.39,0.97,100.00,
22.65,0.17,0.32,1.36,100.00,
22.72,0.15,0.34,0.89,100.00,
22.78,0.17,0.25,0.81,100.00,
22.85,0.10,0.22,0.54,100.00,
22.91,0.06,0.27,0.74,100.00,
22.92,0.06,0.27,0.74,100.00,
22.98,0.20,0.45,1.06,100.00,
23.05,0.14,0.56,1.00,100.00,
23.11,0.18,0.53,0.99,100.00,
23.18,0.11,0.39,1.00,100.00,
23.24,0.10,0.37,0.81,100.00,
23.27,0.10,0.37,0.81,96.00,
23.31,-0.12,0.25,1.18,96.00,
23.38,-0.07,0.26,1.01,96.00,
23.44,-0.04,0.18,0.86,96.00,
23.51,-0.07,0.20,0.50,96.00,
23.57,0.04,0.26,0.83,96.00,
23.62,0.04,0.26,0.83,91.00,
23.64,0.17,0.37,1.12,91.00,
23.71,0.05,0.41,1.19,91.00,
23.77,0.18,0.33,1.45,91.00,
23.84,0.22,0.31,1.12,91.00,
23.90,0.17,0.24,0.97,91.00,
23.97,0.17,0.24,0.97,89.00,
23.97,0.16,0.19,0.78,89.00,
24.04,0.12,0.21,0.66,89.00,
24.10,0.15,0.20,0.69,89.00,
24.17,0.18,0.20,0.80,89.00,
24.23,0.20,0.32,0.67,89.00,
24.30,0.16,0.46,0.94,89.00,
24.32,0.16,0.46,0.94,98.00,
24.37,0.12,0.36,1.38,98.00,
24.43,0.01,0.34,1.36,98.00,
24.50,-0.04,0.17,1.52,98.00,
24.56,-0.15,0.25,0.77,98.00,
24.63,-0.27,0.19,0.72,98.00,
24.67,-0.27,0.19,0.72,128.00,
24.70,-0.17,0.20,0.76,128.00,
24.76,-0.19,0.15,1.07,128.00,
24.83,0.13,0.26,0.94,128.00,
24.89,0.15,0.21,1.09,128.00,
24.96,0.11,0.26,1.04,128.00,
25.02,0.11,0.26,1.04,140.00,
25.03,0.17,0.29,0.90,140.00,
25.09,0.07,0.20,1.24,140.00,
25.16,0.19,0.22,0.86,140.00,
25.22,0.20,0.26,0.65,140.00,
25.29,0.19,0.23,0.66,140.00,
25.36,0.23,0.33,0.70,140.00,
25.37,0.23,0.33,0.70,232.00,
25.42,0.47,0.58,0.93,232.00,
25.49,-0.12,0.55,0.73,232.00,
25.56,-0.29,0.48,1.40,232.00,
25.62,-0.05,0.49,1.04,232.00,
25.68,-0.04,0.39,0.82,232.00,
25.72,-0.04,0.39,0.82,245.00,
25.75,0.26,0.08,1.67,245.00,
25.82,-0.29,0.06,1.04,245.00,
25.88,-0.31,0.03,0.94,245.00,
25.95,-0.17,0.09,0.78,245.00,
26.02,0.02,0.23,0.66,245.00,
26.07,0.02,0.23,0.66,276.00,
26.08,0.00,0.28,0.78,276.00,
26.15,0.01,0.14,1.20,276.00,
26.21,0.24,0.12,1.09,276.00,
26.28,0.05,0.21,0.58,276.00,
26.34,-0.13,-0.04,1.49,276.00,
26.41,0.52,0.39,0.50,276.00,
26.42,0.52,0.39,0.50,335.00,
26.48,0.30,0.45,0.81,335.00,
26.54,0.07,0.32,1.00,335.00,
26.61,-0.07,0.33,0.71,335.00,
26.68,-0.03,0.27,0.76,335.00,
26.74,-0.10,0.15,1.12,335.00,
26.77,-0.10,0.15,1.12,376.00,
26.81,0.00,0.09,1.53,376.00,
26.87,0.39,0.35,1.15,376.00,
26.94,0.13,0.29,1.01,376.00,
27.00,-0.18,0.15,0.81,376.00,
27.07,-0.32,0.04,0.59,376.00,
27.12,-0.32,0.04,0.59,335.00,
27.14,-0.13,0.04,1.19,335.00,
27.20,0.19,0.16,1.31,335.00,
27.27,0.28,0.14,1.08,335.00,
27.34,0.15,0.13,1.17,335.00,
27.40,0.18,0.24,0.84,335.00,
27.47,0.18,0.24,0.84,67.00,
27.47,-0.00,0.22,0.97,67.00,
27.53,-0.03,0.20,0.86,67.00,
27.60,0.02,0.20,0.70,67.00,
27.67,-0.06,0.16,0.78,67.00,
27.73,0.05,0.27,0.64,67.00,
27.80,0.25,0.35,0.77,67.00,
27.82,0.25,0.35,0.77,136.00,
27.86,0.07,0.35,0.87,136.00,
27.93,0.13,0.26,1.13,136.00,
28.00,0.00,0.45,0.68,136.00,
28.06,0.09,-0.06,2.35,136.00,
28.13,-0.13,0.14,1.21,136.00,
28.17,-0.13,0.14,1.21,75.00,
28.19,-0.11,0.16,0.64,75.00,
28.26,-0.04,0.17,0.57,75.00,
28.33,-0.00,0.17,0.54,75.00,
28.39,0.03,0.28,0.51,75.00,
28.46,0.30,0.48,0.83,75.00,
28.52,0.30,0.48,0.83,79.00,
28.52,0.16,0.40,1.85,79.00,
28.59,0.10,0.17,1.71,79.00,
28.66,-0.02,0.21,1.03,79.00,
28.72,0.01,0.22,0.38,79.00,
28.79,0.15,0.23,0.45,79.00,
28.85,0.18,0.25,0.69,79.00,
28.87,0.18,0.25,0.69,83.00,
28.92,0.23,0.38,0.67,83.00,
28.99,0.16,0.46,1.09,83.00,
29.05,0.28,0.35,1.53,83.00,
29.12,0.10,0.36,1.05,83.00,
29.18,0.02,0.34,1.13,83.00,
29.22,0.02,0.34,1.13,88.00,
29.25,0.08,0.27,0.75,88.00,
29.32,0.18,0.45,0.62,88.00,
29.38,0.43,0.37,0.80,88.00,
29.45,0.22,0.52,0.32,88.00,
29.51,0.27,0.50,0.87,88.00,
29.57,0.27,0.50,0.87,91.00,
29.58,0.07,0.08,2.06,91.00,
29.64,-0.11,0.38,0.97,91.00,
29.71,-0.07,0.37,0.43,91.00,
29.78,0.17,0.31,0.50,91.00,
29.84,0.18,0.19,0.60,91.00,
29.91,0.11,0.17,1.03,91.00,
29.92,0.11,0.17,1.03,76.00,
29.98,0.06,0.33,0.69,76.00,
30.04,0.07,0.04,1.56,76.00,
30.11,0.15,0.14,1.64,76.00,
30.17,0.12,0.43,1.13,76.00,
33.17,0.12,0.43,1.13,188.00,
33.22,-0.02,0.24,0.90,188.00,
33.29,0.24,0.22,1.20,188.00,
33.32,0.24,0.22,1.20,171.00,
33.35,0.30,0.28,0.83,171.00,
33.42,0.26,0.26,1.08,171.00,
33.48,0.27,0.26,0.78,171.00,
33.55,0.29,0.23,1.07,171.00,
33.62,0.14,0.30,0.85,171.00,
33.67,0.14,0.30,0.85,103.00,
33.68,0.16,0.32,0.80,103.00,
33.75,0.15,0.33,0.84,103.00,
33.82,0.11,0.28,1.05,103.00,
33.88,0.16,0.26,0.88,103.00,
33.95,0.18,0.03,1.51,103.00,
34.01,0.10,0.22,0.67,103.00,
34.02,0.10,0.22,0.67,96.00,
34.08,0.22,0.14,1.10,96.00,
34.14,0.15,0.09,1.12,96.00,
34.21,0.15,0.16,0.60,96.00,
34.28,0.10,0.27,0.69,96.00,
34.34,-0.05,0.26,0.96,96.00,
34.37,-0.05,0.26,0.96,96.00,
34.41,0.14,0.35,0.92,96.00,
34.48,0.12,0.34,0.83,96.00,
34.54,0.21,0.36,0.78,96.00,
34.61,0.26,0.35,0.99,96.00,
34.67,0.27,0.21,1.51,96.00,
34.72,0.27,0.21,1.51,96.00,
34.74,0.36,0.36,1.09,96.00,
34.80,0.33,0.44,0.41,96.00,
34.87,0.09,0.25,0.85,96.00,
34.94,0.03,0.20,0.92,96.00,
35.00,0.07,0.21,0.83,96.00,
35.07,0.12,0.29,0.71,96.00,
35.07,0.12,0.29,0.71,88.00,
35.13,0.11,0.32,0.97,88.00,
35.20,0.09,0.32,1.10,88.00,
35.27,0.41,0.20,1.73,88.00,
35.33,0.23,0.42,0.84,88.00,
35.40,-0.01,0.31,0.93,88.00,
35.42,-0.01,0.31,0.93,88.00,
35.47,-0.05,0.21,0.81,88.00,
35.53,-0.05,0.23,0.90,88.00,
35.60,0.43,0.48,0.93,88.00,
35.66,0.21,0.63,0.46,88.00,
35.73,0.02,0.44,0.98,88.00,
35.77,0.02,0.44,0.98,80.00,
35.80,0.17,0.34,0.70,80.00,
35.86,0.02,0.03,0.94,80.00,
35.93,0.21,0.21,0.91,80.00,
35.99,0.41,0.40,0.94,80.00,
36.06,0.14,0.31,1.02,80.00,
36.12,0.14,0.31,1.02,123.00,
36.12,0.29,0.28,1.03,123.00,
36.19,0.26,0.36,0.73,123.00,
36.26,0.47,0.47,1.16,123.00,
36.32,0.40,0.54,0.68,123.00,
36.39,0.49,0.18,1.58,123.00,
36.46,0.13,0.17,1.03,123.00,
36.47,0.13,0.17,1.03,46.00,
36.52,0.04,0.21,0.58,46.00,
36.59,-0.28,0.16,0.63,46.00,
36.65,0.05,0.21,0.61,46.00,
36.72,0.05,0.31,0.84,46.00,
36.78,0.01,0.45,0.93,46.00,
36.82,0.01,0.45,0.93,59.00,
36.85,0.12,0.46,1.27,59.00,
36.92,0.31,0.12,2.14,59.00,
36.98,0.11,0.17,1.07,59.00,
37.05,0.12,0.40,0.19,59.00,
37.12,0.02,0.34,0.41,59.00,
37.17,0.02,0.34,0.41,44.00,
37.18,0.10,0.34,0.59,44.00,
37.25,0.14,0.31,0.82,44.00,
37.31,0.17,0.36,0.92,44.00,
37.38,0.15,0.41,1.28,44.00,
37.44,0.20,0.30,1.21,44.00,
37.51,0.21,0.24,1.38,44.00,
37.52,0.21,0.24,1.38,33.00,
37.58,0.03,0.30,0.76,33.00,
37.64,-0.01,0.25,0.64,33.00,
37.71,0.14,0.27,0.53,33.00,
37.78,0.04,0.31,0.72,33.00,
37.84,0.02,0.39,1.02,33.00,
37.87,0.02,0.39,1.02,26.00,
37.91,-0.14,0.39,2.07,26.00,
37.97,0.44,0.42,1.36,26.00,
38.04,0.13,0.34,0.73,26.00,
38.10,-0.09,0.28,0.25,26.00,
38.17,0.20,0.23,0.56,26.00,
38.22,0.20,0.23,0.56,23.00,
38.24,0.15,0.23,0.56,23.00,
38.30,0.27,0.26,0.93,23.00,
38.37,-0.07,0.60,0.69,23.00,
38.44,0.12,0.24,2.26,23.00,
38.50,-0.11,0.39,1.14,23.00,
38.57,-0.14,0.29,1.04,23.00,
38.57,-0.14,0.29,1.04,22.00,
38.63,-0.04,0.25,0.70,22.00,
38.70,0.08,0.17,0.55,22.00,
38.76,0.09,0.14,0.44,22.00,
38.83,0.21,0.39,0.77,22.00,
38.90,0.06,0.47,1.54,22.00,
38.92,0.06,0.47,1.54,21.00,
38.96,0.14,0.44,1.67,21.00,
39.03,0.23,0.47,1.01,21.00,
39.09,0.03,0.36,0.43,21.00,
39.16,-0.03,0.16,0.44,21.00,
39.23,0.07,0.09,0.43,21.00,
